source_type,source_name,RA,DEC,z_hetdex,z_hetdex_conf
lae,HETDEX J003729.37-010104.8,9.372375,-1.018008,2.339442,0.95
agn,HETDEX J021955.85-010103.2,34.982716,-1.017548,1.967,1.0
lae,HETDEX J014126.91-010100.2,25.362137,-1.016734,2.9410717,0.17768545
lae,HETDEX J012759.46-010058.7,21.997751,-1.016304,2.037649,0.95
lae,HETDEX J012745.59-010053.1,21.93996,-1.01476,2.4607258,0.94626063
lae,HETDEX J015746.09-010053.0,29.442022,-1.014732,2.5110242,0.95
lae,HETDEX J012744.39-010050.3,21.934958,-1.013985,3.361855,0.65913045
lae,HETDEX J010942.69-010046.1,17.427872,-1.012815,3.307417,0.95
lae,HETDEX J021727.34-010036.4,34.36392,-1.010106,2.043137,0.95
lae,HETDEX J003743.85-010033.0,9.432708,-1.009171,2.214094,0.95
lae,HETDEX J015936.83-010019.2,29.903471,-1.005329,3.3492656,0.7148592
lae,HETDEX J015828.41-010019.0,29.618378,-1.005267,2.7530735,0.26030672
lae,HETDEX J021822.18-010018.6,34.59241,-1.005154,2.4913669,0.95
lae,HETDEX J013538.09-010012.8,23.908688,-1.003564,2.71919,0.95
lae,HETDEX J015737.63-010007.1,29.406788,-1.001967,2.3561945,0.95
lae,HETDEX J022131.20-010007.0,35.37999,-1.001956,2.645498,0.95
lae,HETDEX J015938.32-010004.5,29.90967,-1.001251,3.3746495,0.10136271
lae,HETDEX J012807.86-010004.4,22.03277,-1.00122,2.400981,0.95
lae,HETDEX J015808.21-010002.7,29.534193,-1.000751,2.8036528,0.95
lae,HETDEX J014153.58-010002.7,25.47327,-1.000745,1.9707046,0.95
lae,HETDEX J022222.06-010002.5,35.591915,-1.000697,2.1241107,0.95
lae,HETDEX J011206.85-010001.4,18.028547,-1.000375,2.1058848,0.95
lae,HETDEX J013622.95-010000.3,24.09564,-1.000078,2.956705,0.6890846
lae,HETDEX J022020.62-010000.0,35.085922,-0.99997306,3.0278463,0.95
lae,HETDEX J012732.52-005959.2,21.885515,-0.999779,2.3201964,0.95
lae,HETDEX J013606.84-005958.1,24.02852,-0.9994829,2.8390095,0.94766665
lae,HETDEX J015754.02-005953.3,29.475079,-0.998145,3.29909,0.95
lae,HETDEX J013607.38-005951.7,24.030731,-0.99768704,2.841124,0.95
lae,HETDEX J021822.88-005951.4,34.59533,-0.997613,2.673268,0.95
lae,HETDEX J015828.01-005948.6,29.616726,-0.99683106,1.9353809,0.59846437
lae,HETDEX J022206.50-005947.2,35.527103,-0.996436,3.2376423,0.95
lae,HETDEX J011006.14-005942.0,17.525587,-0.99499595,3.282403,0.95
lae,HETDEX J021947.24-005931.7,34.946815,-0.992152,2.414845,0.95
lae,HETDEX J015945.97-005930.3,29.941551,-0.991757,2.0199664,0.95
lae,HETDEX J022151.92-005929.4,35.466316,-0.9914961,2.0162802,0.95
lae,HETDEX J012744.89-005927.2,21.937044,-0.990901,3.225316,0.95
lae,HETDEX J021946.46-005925.7,34.943573,-0.99046206,2.5737727,0.95
lae,HETDEX J022143.10-005922.5,35.429565,-0.98959494,2.1980982,0.95
lae,HETDEX J003733.27-005920.2,9.388609,-0.988935,2.1029556,0.95
lae,HETDEX J020015.81-005916.4,30.065882,-0.98789495,2.0984058,0.95
lae,HETDEX J014130.46-005912.0,25.376896,-0.9866759,2.2517295,0.8952123
lae,HETDEX J015744.46-005910.0,29.43525,-0.986098,2.186258,0.95
lae,HETDEX J010931.31-005908.2,17.380474,-0.985613,3.404683,0.95
lae,HETDEX J020946.88-005907.8,32.44532,-0.985513,2.888205,0.95
lae,HETDEX J012731.10-005907.6,21.879578,-0.985434,2.585325,0.8736291
lae,HETDEX J020017.90-005907.5,30.074575,-0.98543,2.5758624,0.95
lae,HETDEX J003732.35-005907.5,9.384803,-0.985417,1.9989684,0.95
lae,HETDEX J012830.79-005907.4,22.128286,-0.985382,2.5416417,0.93153757
lae,HETDEX J015933.19-005904.8,29.888273,-0.984665,2.1423442,0.95
lae,HETDEX J014232.07-005903.8,25.633623,-0.98438,1.9555893,0.95
lae,HETDEX J021825.17-005858.3,34.60486,-0.982872,3.3701334,0.53867334
lae,HETDEX J013625.30-005857.7,24.105433,-0.98270404,3.1210399,0.90247965
lae,HETDEX J003747.41-005856.1,9.447537,-0.982249,2.6304402,0.44171634
lae,HETDEX J003817.34-005855.0,9.572259,-0.98195094,2.127122,0.95
lae,HETDEX J010931.53-005854.1,17.381374,-0.98169994,3.1881404,0.95
lae,HETDEX J021011.04-005852.2,32.546005,-0.981154,2.741011,0.95
agn,HETDEX J012811.26-005849.3,22.046907,-0.9803559,2.089,1.0
agn,HETDEX J012811.26-005849.3,22.046907,-0.9803559,2.089,1.0
agn,HETDEX J012811.26-005849.3,22.046907,-0.9803559,2.089,1.0
agn,HETDEX J012811.26-005849.3,22.046907,-0.9803559,2.089,1.0
agn,HETDEX J012811.26-005849.3,22.046907,-0.9803559,2.089,1.0
agn,HETDEX J012811.26-005849.3,22.046907,-0.9803559,2.089,1.0
agn,HETDEX J012811.26-005849.3,22.046907,-0.9803559,2.089,1.0
lae,HETDEX J021810.69-005848.0,34.544548,-0.98,2.2957504,0.95
lae,HETDEX J021938.58-005847.9,34.910748,-0.9799641,2.4699738,0.95
